Brand,Model,Model_Description,Price,Engine_Size
Lexus,NX,350h AWD EX,942700.0,
Audi,Q5,40TDI quattro,944700.0,
Lexus,UX,250h F Sport,947500.0,
MINI,John Cooper,Works ALL4 Countryman,953739.0,
BMW,X3,sDrive18d,957224.0,
Volvo,XC60,B5 AWD Essential,957900.0,
BMW,X2,M35i,961081.0,
Toyota,Land Cruiser,76 4.5D-4D LX V8 Station Wagon,963400.0,4.5
Hyundai,Santa Fe,2.2D 4WD Elite,964900.0,2.2
Ford,Everest,2.0 BiTurbo 4x4 Sport,965400.0,2.0
Audi,Q5,40TDI quattro S line,989700.0,
BMW,X3,sDrive18d M Sport,997224.0,
Mercedes-Benz,GLB220d,4Matic Progressive,998388.0,
Volvo,XC60,B5 AWD Plus Dark,999700.0,
Jeep,Wrangler Unlimited,3.6 Sport,999900.0,3.6
Mercedes-Benz,GLB250,Progressive,1012287.0,
Volkswagen,Tiguan R,R,1014900.0,
BMW,X3,sDrive20i,1015778.0,
Kia,Sorento,2.2CRDi AWD SXL,1019995.0,2.2
Volvo,XC60,B5 AWD Plus Bright,1025700.0,
Mercedes-Benz,GLB220d,4Matic AMG Line,1036388.0,
Audi,Q5 Sportback,40TDI quattro Advanced,1038700.0,
Audi,Q5,45TFSI quattro S line,1048500.0,
Jeep,Wrangler,3.6 Rubicon,1049900.0,3.6
Mercedes-Benz,GLB250 AMG,Line,1050287.0,
BMW,X3,sDrive20i M Sport,1055778.0,
Volvo,XC60,B6 AWD Plus Dark,1063800.0,
BMW,X3,xDrive20d,1065394.0,
Hyundai,Palisade,2.2D 4WD Elite,1066900.0,2.2
Volvo,XC40,P6 Recharge Plus,1075000.0,
Audi,Q5 Sportback,40TDI quattro S line,1077700.0,
Toyota,Land Cruiser,Prado 2.8GD TX,1079700.0,2.8
Jaguar,E-Pace,D200 AWD R-Dynamic SE,1087000.0,
Volvo,XC60,B6 AWD Plus Bright,1089800.0,
Jeep,Wrangler Unlimited,3.6 Rubicon,1099900.0,3.6
Lexus,NX,350h AWD SE,1104100.0,
BMW,X3,xDrive20d M Sport,1105394.0,
Land Rover,Discovery Sport,D200 Urban Edition,1108500.0,
Porsche,Macan,,1112000.0,
Ford,Everest,3.0 V6 4WD Platinum,1113100.0,3.0
Land Rover,Discovery Sport,P250 Urban Edition,1113600.0,
Mercedes-Benz,GLC220d,4Matic,1124312.0,
Land Rover,Discovery Sport,D200 R-Dynamic SE,1125100.0,
Land Rover,Range Rover Evoque,D200 Bronze Collection,1126400.0,
Land Rover,Discovery Sport,P250 R-Dynamic SE,1130200.0,
Lexus,NX,350h AWD F Sport,1130400.0,
Land Rover,Range Rover Evoque,P250 Bronze Collection,1131800.0,
Audi,Q5 Sportback,45TFSI quattro S line,1136500.0,
Lexus,NX,350 AWD F Sport,1140900.0,
Land Rover,Range Rover Evoque,D200 R-Dynamic SE,1143200.0,
Land Rover,Range Rover Evoque,P250 R-Dynamic SE,1148600.0,
BMW,X4,xDrive20d,1152894.0,
Land Rover,Discovery Sport,D200 R-Dynamic HSE,1154500.0,
Jaguar,E-Pace,D200 AWD R-Dynamic HSE,1155000.0,
Mercedes-Benz,GLC220d Coupé,4Matic,1156053.0,
Land Rover,Discovery Sport,P250 R-Dynamic HSE,1159600.0,
Mercedes-Benz,EQA,250 Progressive,1174000.0,
Toyota,Land Cruiser,Prado 4.0 VX,1183600.0,4.0
BMW,X4,xDrive20d M Sport,1192894.0,
Audi,RSQ3 quattro,,1195900.0,
Land Rover,Range Rover Evoque,D200 R-Dynamic HSE,1196500.0,
Mercedes-Benz,GLC300d Coupé,4Matic,1200313.0,
Land Rover,Range Rover Evoque,P250 R-Dynamic HSE,1201900.0,
Alfa,Romeo Stelvio,2.0T Veloce Q4,1204900.0,2.0
Lexus,RX,350 EX,1206700.0,
Mercedes-Benz,GLC220d,4Matic AMG Line,1206905.0,
Mercedes-Benz,GLC220d Coupé,4Matic AMG Line,1209953.0,
Porsche,Macan T,,1215000.0,
Toyota,Land Cruiser,Prado 2.8GD VX,1220000.0,2.8
Mercedes-Benz,EQA,250 AMG Line,1227000.0,
Audi,RSQ3 Sportback,quattro,1232300.0,
Toyota,Land Cruiser,Prado 4.0 VX-L,1233800.0,4.0
Mercedes-Benz,GLC300 Coupé,4Matic,1239035.0,
Mercedes-Benz,GLC300,4Matic,1243323.0,
Mercedes-Benz,GLC300d Coupé,4Matic AMG Line,1254213.0,
BMW,X3,xDrive30d,1256840.0,
Volvo,XC40,P8 Recharge Twin AWD Ultimate,1260000.0,
Land Rover,Range Rover Evoque,D200 Autobiography,1268700.0,
Toyota,Land Cruiser,Prado 2.8GD VX-L,1271900.0,2.8
Land Rover,Range Rover Evoque,P250 Autobiography,1274100.0,
Audi,SQ5 TFSI,quattro,1278500.0,
Volvo,XC60,T8 Recharge AWD Plus Dark,1284000.0,
Mercedes-Benz,GLC300 Coupé,4Matic AMG Line,1292935.0,
Volvo,C40,P8 Recharge Twin AWD Ultimate,1295000.0,
Lexus,RX,350L EX,1295900.0,
BMW,X3,xDrive30d M Sport,1296840.0,
BMW,iX3,M Sport,1306400.0,
Volvo,XC60,T8 Recharge AWD Plus Bright,1310000.0,
Land Rover,Defender,90 D240 SE,1311500.0,
Volvo,XC90,B5 AWD Essential,1312500.0,
Mercedes-Benz,GLC300d,4Matic,1323894.0,
Mercedes-Benz,GLC300,4Matic AMG Line,1325916.0,
Jeep,Grand Cherokee,L 3.6 4x4 Limited,1329900.0,3.6
Volkswagen,Touareg,V6 TDI Luxury,1331800.0,
Porsche,Macan S,,1337000.0,
Land Rover,Defender,110 D240 SE,1345500.0,
Lexus,RX,350 F Sport,1349500.0,
Jaguar,F-Pace,D200 AWD R-Dynamic SE,1357000.0,
Toyota,Land Cruiser,300 3.3D GX-R,1375100.0,3.3
Mercedes-Benz,EQB,350 4Matic Progressive,1379000.0,
Audi,SQ5 Sportback,TFSI quattro,1405500.0,
Mercedes-Benz,GLC300d,4Matic AMG Line,1406487.0,
Volvo,XC90,B5 AWD Plus Dark,1408500.0,
Jaguar,F-Pace,D300 AWD R-Dynamic SE,1416000.0,
Jaguar,F-Pace,D200 AWD R-Dynamic HSE,1417000.0,
Mercedes-Benz,EQB,350 4Matic AMG Line,1432000.0,
Land Rover,Defender,90 D240 XS Edition,1439500.0,
Land Rover,Defender,110 D300 SE,1443600.0,
Land Rover,Defender,110 D240 X-Dynamic SE,1449500.0,
Volvo,XC90,B6 AWD Plus Dark,1463900.0,
BMW,X3,M40i,1468146.0,
Land Rover,Range Rover Evoque,P300e Bronze Collection,1469700.0,
Land Rover,Defender,110 D240 XS Edition,1470500.0,
Land Rover,Defender,90 D240 X-Dynamic HSE,1474500.0,
Jaguar,F-Pace,D300 AWD R-Dynamic HSE,1477000.0,
Jaguar,E-Pace,P300e AWD R-Dynamic SE,1478000.0,
Land Rover,Range Rover Evoque,P300e R-Dynamic SE,1483600.0,
Land Rover,Defender,90 D300 X-Dynamic SE,1494600.0,
Land Rover,Discovery Sport,P300e R-Dynamic SE,1494700.0,
Land Rover,Defender,110 D240 X-Dynamic HSE,1511500.0,
Ineos,Grenadier,3.0TD,1513100.0,3.0
Land Rover,Range Rover Velar,D200 Dynamic SE,1519000.0,
Audi,Q7,45TDI quattro,1520000.0,
Mercedes-Benz,EQB,350 4Matic Edition 1,1523400.0,
Jeep,Grand Cherokee,L 3.6 4x4 Overland,1529900.0,3.6
Land Rover,Discovery Sport,P300e R-Dynamic HSE,1534200.0,
Land Rover,Defender,110 D300 X-Dynamic SE,1535600.0,
Jaguar,E-Pace,P300e AWD R-Dynamic HSE,1541000.0,
Land Rover,Range Rover Evoque,P300e R-Dynamic HSE,1542000.0,
Porsche,Cayenne,,1545000.0,
BMW,X4,M40i,1558146.0,
Land Rover,Defender,90 D300 X-Dynamic HSE,1561600.0,
Audi,Q7,45TDI quattro S line,1565000.0,
Lexus,RX,450h SE,1567800.0,
Land Rover,Defender,110 D300 X-Dynamic HSE,1598600.0,
